0,1,2,3,4,5,6,7,8,9,10,11,12
27,28,49,40,60,80,30,20,31,32,7,8,9
27,28,49,40,80,60,30,10,20,31,7,8,9
27,28,49,40,31,32,71,72,80,30,4,5,7
27,28,49,40,60,80,30,31,32,71,7,8,9
27,28,49,40,31,32,71,72,60,30,4,5,7
27,28,49,40,31,32,71,72,80,60,7,8,9
27,28,49,40,31,32,71,72,30,60,7,8,9
27,28,49,40,31,32,71,72,30,80,7,8,9
27,28,49,40,31,32,71,72,80,60,4,5,7
27,28,49,40,31,32,71,72,80,30,7,8,9
27,28,49,40,60,80,31,32,71,72,7,8,9
27,28,49,40,60,80,30,31,32,71,7,8,9
27,28,49,40,31,32,71,72,30,60,7,8,9
27,28,49,40,31,32,71,72,80,30,4,5,7
27,28,49,31,32,71,72,40,30,80,4,5,7
27,28,49,40,80,60,30,31,32,71,7,8,9
27,28,49,31,32,71,72,40,30,80,4,5,7
27,28,49,40,31,32,71,72,60,80,4,5,7
27,28,49,31,32,71,72,80,40,30,7,8,9
27,28,49,40,31,32,71,72,80,30,7,8,9
27,28,49,40,80,60,30,20,70,31,7,8,9
27,28,49,40,30,60,80,20,31,32,7,8,9
27,28,49,40,30,80,60,20,31,32,7,8,9
27,28,49,40,60,80,30,20,10,70,7,8,9
27,28,49,40,80,30,60,31,32,71,7,8,9
27,28,49,31,32,71,72,40,60,80,7,8,9
27,28,49,31,32,71,72,40,80,60,4,5,7
27,28,49,31,32,71,72,40,60,80,7,8,9
27,28,49,40,31,32,71,72,80,30,4,5,7
27,28,49,40,60,30,80,20,10,70,7,8,9
27,28,49,40,60,30,80,20,31,32,7,8,9
27,28,49,40,30,60,80,20,31,32,7,8,9
27,28,49,40,60,30,20,80,31,32,7,8,9
27,28,49,40,80,60,30,20,70,31,7,8,9
27,28,49,40,60,80,30,20,31,32,7,8,9
27,28,49,40,60,80,30,31,32,71,7,8,9
27,28,49,40,30,31,32,71,72,80,7,8,9
27,28,49,40,80,60,31,32,71,72,7,8,9
27,28,49,40,60,30,80,20,70,31,7,8,9
27,28,49,40,31,32,71,72,60,80,4,5,7
27,28,49,40,31,32,71,72,80,60,7,8,9
27,28,49,40,60,80,30,20,31,32,7,8,9
27,28,49,40,30,60,80,20,70,10,7,8,9
27,28,49,31,32,71,72,80,40,60,4,5,7
27,28,49,40,30,60,80,20,70,31,7,8,9
27,28,49,40,80,60,30,20,31,32,7,8,9
27,28,49,31,32,71,72,80,40,30,4,5,7
27,28,49,40,80,31,32,71,72,30,7,8,9
27,28,49,31,32,71,72,40,80,60,7,8,9
27,28,49,40,60,30,20,80,31,32,7,8,9
27,28,49,31,32,71,72,80,40,60,7,8,9
27,28,49,31,32,71,72,40,80,30,4,5,7
27,28,49,40,31,32,71,72,30,80,4,5,7
27,28,49,40,60,30,80,20,10,31,7,8,9
27,28,49,40,80,60,31,32,71,72,7,8,9
27,28,49,40,60,20,30,80,10,70,7,8,9
27,28,49,40,30,80,60,20,31,32,7,8,9
27,28,49,40,31,32,71,72,80,60,7,8,9
27,28,49,31,32,71,72,40,60,30,4,5,7
27,28,49,40,30,60,80,20,10,31,7,8,9
27,28,49,40,31,32,71,72,60,80,7,8,9
27,28,49,31,32,71,72,40,80,30,7,8,9
27,28,49,40,80,30,60,20,31,32,7,8,9
27,28,49,40,60,30,80,20,31,32,7,8,9
27,28,49,40,60,30,31,32,71,72,7,8,9
27,28,49,40,80,60,30,31,32,71,7,8,9
27,28,49,40,30,80,60,31,32,71,7,8,9
27,28,49,40,31,32,71,72,60,80,7,8,9
27,28,49,31,32,71,72,40,60,30,4,5,7
27,28,49,40,80,30,31,32,71,72,7,8,9
27,28,49,31,32,71,72,80,40,60,4,5,7
27,28,49,80,31,32,71,72,40,30,7,8,9
27,28,49,31,32,71,72,40,80,30,7,8,9
27,28,49,40,60,80,30,20,31,32,7,8,9
27,28,49,40,31,32,71,72,80,60,4,5,7
27,28,49,31,32,71,72,80,40,60,7,8,9
27,28,49,40,31,32,71,72,30,80,4,5,7
27,28,49,40,30,60,80,20,31,32,7,8,9
27,28,49,40,30,60,80,10,20,31,7,8,9
